Sample_name	scion	rootstock	RxS
CL01RT	chardonnay	Teleki 5C	chardonnay_Teleki 5C
CL02RT	chardonnay	Kober 5BB	chardonnay_Kober 5BB
CL03RT	chardonnay	775 Paulsen	chardonnay_775 Paulsen
CL04RT	chardonnay	775 Paulsen	chardonnay_775 Paulsen
CL06RT	chardonnay	101-14 MGT	chardonnay_101-14 MGT
CL08RT	chardonnay	140Ru	chardonnay_140Ru
CL09RT	chardonnay	110 Richter	chardonnay_110 Richter
CL10RT	chardonnay	3309 Couderc	chardonnay_3309 Couderc
CL11RT	chardonnay	1103 Paulsen	chardonnay_1103 Paulsen
CL13RT	chardonnay	101-14 MGT	chardonnay_101-14 MGT
CL14RT	chardonnay	Schwarzmann	chardonnay_Schwarzmann
CL15RT	chardonnay	420A	chardonnay_420A
CL16RT	chardonnay	Schwarzmann	chardonnay_Schwarzmann
CL18RT	chardonnay	Kober 5BB	chardonnay_Kober 5BB
CL19RT	chardonnay	110 Richter	chardonnay_110 Richter
CL20RT	chardonnay	775 Paulsen	chardonnay_775 Paulsen
CL22RT	chardonnay	140Ru	chardonnay_140Ru
CL23RT	chardonnay	420A	chardonnay_420A
CL24RT	chardonnay	Teleki 5C	chardonnay_Teleki 5C
CL25RT	chardonnay	1103 Paulsen	chardonnay_1103 Paulsen
CL26RT	chardonnay	3309 Couderc	chardonnay_3309 Couderc
CL27RT	chardonnay	1103 Paulsen	chardonnay_1103 Paulsen
CL28RT	chardonnay	Kober 5BB	chardonnay_Kober 5BB
CL29RT	chardonnay	Schwarzmann	chardonnay_Schwarzmann
CL30RT	chardonnay	420A	chardonnay_420A
CL33RT	chardonnay	101-14 MGT	chardonnay_101-14 MGT
CL35RT	chardonnay	Teleki 5C	chardonnay_Teleki 5C
CL36RT	chardonnay	140Ru	chardonnay_140Ru
CL38RT	chardonnay	110 Richter	chardonnay_110 Richter
CL39RT	chardonnay	3309 Couderc	chardonnay_3309 Couderc
CL40RT	cabernet sauvignon	775 Paulsen	cabernet sauvignon_775 Paulsen
CL41RT	cabernet sauvignon	420A	cabernet sauvignon_420A
CL42RT	cabernet sauvignon	110 Richter	cabernet sauvignon_110 Richter
CL44RT	cabernet sauvignon	140Ru	cabernet sauvignon_140Ru
CL45RT	cabernet sauvignon	Teleki 5C	cabernet sauvignon_Teleki 5C
CL46RT	cabernet sauvignon	3309 Couderc	cabernet sauvignon_3309 Couderc
CL47RT	cabernet sauvignon	Schwarzmann	cabernet sauvignon_Schwarzmann
CL49RT	cabernet sauvignon	101-14 MGT	cabernet sauvignon_101-14 MGT
CL50RT	cabernet sauvignon	1103 Paulsen	cabernet sauvignon_1103 Paulsen
CL52RT	cabernet sauvignon	Schwarzmann	cabernet sauvignon_Schwarzmann
CL53RT	cabernet sauvignon	Kober 5BB	cabernet sauvignon_Kober 5BB
CL55RT	cabernet sauvignon	Teleki 5C	cabernet sauvignon_Teleki 5C
CL56RT	cabernet sauvignon	110 Richter	cabernet sauvignon_110 Richter
CL57RT	cabernet sauvignon	3309 Couderc	cabernet sauvignon_3309 Couderc
CL58RT	cabernet sauvignon	1103 Paulsen	cabernet sauvignon_1103 Paulsen
CL59RT	cabernet sauvignon	140Ru	cabernet sauvignon_140Ru
CL60RT	cabernet sauvignon	Teleki 5C	cabernet sauvignon_Teleki 5C
CL61RT	cabernet sauvignon	140Ru	cabernet sauvignon_140Ru
CL62RT	cabernet sauvignon	1103 Paulsen	cabernet sauvignon_1103 Paulsen
CL63RT	cabernet sauvignon	775 Paulsen	cabernet sauvignon_775 Paulsen
CL64RT	cabernet sauvignon	101-14 MGT	cabernet sauvignon_101-14 MGT
CL65RT	cabernet sauvignon	Kober 5BB	cabernet sauvignon_Kober 5BB
CL67RT	cabernet sauvignon	420A	cabernet sauvignon_420A
CL68RT	cabernet sauvignon	101-14 MGT	cabernet sauvignon_101-14 MGT
CL69RT	cabernet sauvignon	Kober 5BB	cabernet sauvignon_Kober 5BB
CL72RT	cabernet sauvignon	3309 Couderc	cabernet sauvignon_3309 Couderc
CL74RT	cabernet sauvignon	775 Paulsen	cabernet sauvignon_775 Paulsen
CL76RT	cabernet sauvignon	420A	cabernet sauvignon_420A
CL77RT	cabernet sauvignon	110 Richter	cabernet sauvignon_110 Richter
CL78RT	cabernet sauvignon	Schwarzmann	cabernet sauvignon_Schwarzmann